datetime,chA_VIR_Recipe_Name,chA_VIR_Step_Name,chA_Recipe_Curr_Chamber_Status,chA_AO_mfc1_setpoint_SiH2Cl2,chA_AI_mfc1_flow_SiH2Cl2,chA_AO_mfc2_setpoint_N2O,chA_AI_mfc2_flow_N2O,chA_VIR_Heater_Temp_Set,chA_VIR_Heater_Temp,chA_AO_RPS_Power_Setpoint,chA_AI_RPS_Delivery_Power
23/06/26 13:30:50,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:51,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:52,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:53,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:54,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:55,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:56,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:57,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:58,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:59,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:00,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:01,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:02,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:03,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:04,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:05,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:06,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:07,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:08,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:09,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:10,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:11,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:12,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:13,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:14,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:15,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:16,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:17,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:18,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:19,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:20,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:21,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:22,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:23,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:24,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:25,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:26,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:27,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:28,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:29,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:30,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:31,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:32,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:33,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:34,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:31:35,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.76,260.0,260.24,400.0,400.05,900.0,901.6
23/06/26 13:31:36,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.88,260.0,260.12,400.0,400.1,900.0,897.6
23/06/26 13:31:37,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.0,260.0,260.0,400.0,400.15,900.0,898.4
23/06/26 13:31:38,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.12,260.0,259.88,400.0,399.85,900.0,899.2
23/06/26 13:31:39,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.24,260.0,259.76,400.0,399.9,900.0,900.0
23/06/26 13:31:40,DEMO_PECVD_OXIDE,Purge,Idle,0.0,-0.24,40.0,40.24,390.0,389.95,0.0,0.8
23/06/26 13:31:41,DEMO_PECVD_OXIDE,Purge,Idle,0.0,-0.12,40.0,40.12,390.0,390.0,0.0,1.6
23/06/26 13:31:42,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.0,40.0,40.0,390.0,390.05,0.0,-2.4
23/06/26 13:31:43,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.12,40.0,39.88,390.0,390.1,0.0,-1.6
23/06/26 13:31:44,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.24,40.0,39.76,390.0,390.15,0.0,-0.8
23/06/26 13:31:45,DEMO_PECVD_OXIDE,Purge,Idle,0.0,-0.24,40.0,40.24,390.0,389.85,0.0,0.0
23/06/26 13:31:46,DEMO_PECVD_OXIDE,Purge,Idle,0.0,-0.12,40.0,40.12,390.0,389.9,0.0,0.8
23/06/26 13:31:47,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.0,40.0,40.0,390.0,389.95,0.0,1.6
23/06/26 13:31:48,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.12,40.0,39.88,390.0,390.0,0.0,-2.4
23/06/26 13:31:49,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.24,40.0,39.76,390.0,390.05,0.0,-1.6
23/06/26 13:31:50,DEMO_PECVD_OXIDE,Purge,Idle,0.0,-0.24,40.0,40.24,390.0,390.1,0.0,-0.8
23/06/26 13:31:51,DEMO_PECVD_OXIDE,Purge,Idle,0.0,-0.12,40.0,40.12,390.0,390.15,0.0,0.0
23/06/26 13:31:52,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.0,40.0,40.0,390.0,389.85,0.0,0.8
23/06/26 13:31:53,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.12,40.0,39.88,390.0,389.9,0.0,1.6
23/06/26 13:31:54,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.24,40.0,39.76,390.0,389.95,0.0,-2.4
23/06/26 13:31:55,DEMO_PECVD_OXIDE,Purge,Idle,0.0,-0.24,40.0,40.24,390.0,390.0,0.0,-1.6
23/06/26 13:31:56,DEMO_PECVD_OXIDE,Purge,Idle,0.0,-0.12,40.0,40.12,390.0,390.05,0.0,-0.8
23/06/26 13:31:57,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.0,40.0,40.0,390.0,390.1,0.0,0.0
23/06/26 13:31:58,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.12,40.0,39.88,390.0,390.15,0.0,0.8
23/06/26 13:31:59,DEMO_PECVD_OXIDE,Purge,Idle,0.0,0.24,40.0,39.76,390.0,389.85,0.0,1.6
